Name,Federation,FideID,B_Year,Gender,Title
"Covelli, Luis Alberto ",Argentina,118273,1945,Male,None
"Adorno, Anibal ",Argentina,118389, ,Male,None
"Gualpa, Carlos ",Argentina,118435, ,Male,None
"Argento, Elizabeth Mariel ",Argentina,118532,1995,Female,None
"Arias, Juan Cruz ",Argentina,118540,1996,Male,FIDE Master
"Salvatierra, Matias ",Argentina,118613,1996,Male,None
"Martinez, Ayelen ",Argentina,118702,1993,Female,Woman Intl. Master
"Dominguez, Gisella ",Argentina,118788,1992,Female,None
"Derbes, Jose ",Argentina,118915, ,Male,None
"Fabrizio, Gustavo ",Argentina,118940,1976,Male,None
"Vecchio, Raul Antonio ",Argentina,119210,1961,Male,None
"Wisniacki, Flavio ",Argentina,119229,1971,Male,FIDE Master
"Di Giannantonio, Nino ",Argentina,119261,1997,Male,FIDE Master
"Andriano, Franco ",Argentina,119270,1999,Male,None
"Palu, Andres ",Argentina,119288,1999,Male,FIDE Master
"Strgacich, Aylen ",Argentina,119296,1999,Female,Woman FIDE Master
"Aguinaga, Maximiliano ",Argentina,119300,1990,Male,None
"Marey, Mauro ",Argentina,119571,1968,Male,None
"Abdenur, Luciano ",Argentina,119601,1994,Male,None
"Madeo, Guillermo ",Argentina,119687,1950,Male,None
"Galvan, Sergio ",Argentina,119954, ,Male,None
"Crespo, Eugenio ",Argentina,120260,1990,Male,None
"Molina, Pablo Sebastian ",Argentina,120286,1993,Male,FIDE Master
"Pirola, Marcos ",Argentina,120324,1988,Male,None
"Valverde, Fausto ",Argentina,120332,1988,Male,None
"Asad, Jonathan ",Argentina,121100, ,Male,None
"Lopez, Silvio ",Argentina,121126, ,Male,None
"Acosta, Carlos Humberto ",Argentina,121150,1964,Male,None
"Banfi, Pablo ",Argentina,121193,1987,Male,None
"Barreira Vesco, Ulises ",Argentina,121207, ,Male,None
"Hernandez, Hector Pablo ",Argentina,121304, ,Male,None
"Ligotti, Jorge Luis ",Argentina,121339,1974,Male,None
"Edgar, Roberto ",Argentina,121487, ,Male,None
"Sosa, Tomas ",Argentina,121576,1998,Male,Grandmaster
"Gaitan, Juan Manuel ",Argentina,121657,1993,Male,FIDE Master
"Maldonado, Federico ",Argentina,121770,1990,Male,None
"Aguilar Enzetti, Silvio Alejandro ",Argentina,121789,1982,Male,None
